size,array_type,algorithm,threshold,time
5100,reversed,hybrid,20,1042
5100,nearly_sorted,hybrid,20,843
5100,random,hybrid,30,1244
5100,reversed,hybrid,30,1047
5100,nearly_sorted,hybrid,30,828
5100,random,hybrid,50,1279
5100,reversed,hybrid,50,1331
5100,nearly_sorted,hybrid,50,780
5200,random,standard,0,2242
5200,reversed,standard,0,1742
5200,nearly_sorted,standard,0,1904
5200,random,hybrid,5,1490
5200,reversed,hybrid,5,1098
5200,nearly_sorted,hybrid,5,1165
5200,random,hybrid,10,1403
5200,reversed,hybrid,10,1066
5200,nearly_sorted,hybrid,10,1006
5200,random,hybrid,20,1314
5200,reversed,hybrid,20,1081
5200,nearly_sorted,hybrid,20,894
5200,random,hybrid,30,1310
5200,reversed,hybrid,30,1131
5200,nearly_sorted,hybrid,30,892
5200,random,hybrid,50,1358
5200,reversed,hybrid,50,1463
5200,nearly_sorted,hybrid,50,816
5300,random,standard,0,2548
5300,reversed,standard,0,1827
5300,nearly_sorted,standard,0,2023
5300,random,hybrid,5,1633
5300,reversed,hybrid,5,1137
5300,nearly_sorted,hybrid,5,1189
5300,random,hybrid,10,1426
5300,reversed,hybrid,10,1102
5300,nearly_sorted,hybrid,10,1034
5300,random,hybrid,20,1355
5300,reversed,hybrid,20,1165
5300,nearly_sorted,hybrid,20,891
5300,random,hybrid,30,1314
5300,reversed,hybrid,30,1158
5300,nearly_sorted,hybrid,30,918
5300,random,hybrid,50,1420
5300,reversed,hybrid,50,1447
5300,nearly_sorted,hybrid,50,819
5400,random,standard,0,2415
5400,reversed,standard,0,1840
5400,nearly_sorted,standard,0,2193
5400,random,hybrid,5,1597
5400,reversed,hybrid,5,1119
5400,nearly_sorted,hybrid,5,1208
5400,random,hybrid,10,1466
5400,reversed,hybrid,10,1101
5400,nearly_sorted,hybrid,10,1010
5400,random,hybrid,20,1375
5400,reversed,hybrid,20,1221
5400,nearly_sorted,hybrid,20,1132
5400,random,hybrid,30,1485
5400,reversed,hybrid,30,1358
5400,nearly_sorted,hybrid,30,1081
5400,random,hybrid,50,1686
5400,reversed,hybrid,50,1968
5400,nearly_sorted,hybrid,50,1029
5500,random,standard,0,3059
5500,reversed,standard,0,2598
5500,nearly_sorted,standard,0,2990
5500,random,hybrid,5,2122
5500,reversed,hybrid,5,1674
5500,nearly_sorted,hybrid,5,1700
5500,random,hybrid,10,1950
5500,reversed,hybrid,10,1552
5500,nearly_sorted,hybrid,10,1467
5500,random,hybrid,20,1912
5500,reversed,hybrid,20,1599
5500,nearly_sorted,hybrid,20,1396
5500,random,hybrid,30,1608
5500,reversed,hybrid,30,1415
5500,nearly_sorted,hybrid,30,1034
5500,random,hybrid,50,1654
5500,reversed,hybrid,50,1848
5500,nearly_sorted,hybrid,50,983
5600,random,standard,0,2719
5600,reversed,standard,0,1997
5600,nearly_sorted,standard,0,2231
5600,random,hybrid,5,1818
5600,reversed,hybrid,5,1259
5600,nearly_sorted,hybrid,5,2139
5600,random,hybrid,10,2695
5600,reversed,hybrid,10,2246
5600,nearly_sorted,hybrid,10,2149
5600,random,hybrid,20,2766
5600,reversed,hybrid,20,2212
5600,nearly_sorted,hybrid,20,2017
5600,random,hybrid,30,2332
5600,reversed,hybrid,30,1399
5600,nearly_sorted,hybrid,30,1424
5600,random,hybrid,50,1781
5600,reversed,hybrid,50,1736
5600,nearly_sorted,hybrid,50,919
5700,random,standard,0,2520
5700,reversed,standard,0,1946
5700,nearly_sorted,standard,0,2056
5700,random,hybrid,5,1632
5700,reversed,hybrid,5,1201
5700,nearly_sorted,hybrid,5,1287
5700,random,hybrid,10,1512
5700,reversed,hybrid,10,1171
5700,nearly_sorted,hybrid,10,1106
5700,random,hybrid,20,1499
5700,reversed,hybrid,20,1170
5700,nearly_sorted,hybrid,20,1068
5700,random,hybrid,30,1437
5700,reversed,hybrid,30,1232
5700,nearly_sorted,hybrid,30,946
5700,random,hybrid,50,1492
5700,reversed,hybrid,50,1598
5700,nearly_sorted,hybrid,50,911
5800,random,standard,0,2680
5800,reversed,standard,0,1961
5800,nearly_sorted,standard,0,2169
5800,random,hybrid,5,1674
5800,reversed,hybrid,5,1205
5800,nearly_sorted,hybrid,5,1327
5800,random,hybrid,10,1579
5800,reversed,hybrid,10,1216
5800,nearly_sorted,hybrid,10,1158
5800,random,hybrid,20,1516
5800,reversed,hybrid,20,1210
5800,nearly_sorted,hybrid,20,1109
5800,random,hybrid,30,1470
5800,reversed,hybrid,30,1324
5800,nearly_sorted,hybrid,30,993
5800,random,hybrid,50,1573
5800,reversed,hybrid,50,1661
5800,nearly_sorted,hybrid,50,880
5900,random,standard,0,2568
5900,reversed,standard,0,2085
5900,nearly_sorted,standard,0,2198
5900,random,hybrid,5,1747
5900,reversed,hybrid,5,1197
5900,nearly_sorted,hybrid,5,1283
5900,random,hybrid,10,1564
5900,reversed,hybrid,10,1213
5900,nearly_sorted,hybrid,10,1176
5900,random,hybrid,20,1530
5900,reversed,hybrid,20,1184
5900,nearly_sorted,hybrid,20,1121
5900,random,hybrid,30,1459
5900,reversed,hybrid,30,1334
5900,nearly_sorted,hybrid,30,988
5900,random,hybrid,50,1589
5900,reversed,hybrid,50,1671
5900,nearly_sorted,hybrid,50,917
6000,random,standard,0,2483
6000,reversed,standard,0,2220
6000,nearly_sorted,standard,0,2503
6000,random,hybrid,5,1728
6000,reversed,hybrid,5,1281
6000,nearly_sorted,hybrid,5,1302
6000,random,hybrid,10,1686
6000,reversed,hybrid,10,1244
6000,nearly_sorted,hybrid,10,1239
6000,random,hybrid,20,1524
6000,reversed,hybrid,20,1244
6000,nearly_sorted,hybrid,20,1123
6000,random,hybrid,30,1516
6000,reversed,hybrid,30,1342
6000,nearly_sorted,hybrid,30,993
6000,random,hybrid,50,1649
6000,reversed,hybrid,50,1768
6000,nearly_sorted,hybrid,50,943
6100,random,standard,0,2796
6100,reversed,standard,0,2544
6100,nearly_sorted,standard,0,2440
6100,random,hybrid,5,1861
6100,reversed,hybrid,5,1307
6100,nearly_sorted,hybrid,5,1349
6100,random,hybrid,10,1767
6100,reversed,hybrid,10,1286
6100,nearly_sorted,hybrid,10,1347
6100,random,hybrid,20,1637
6100,reversed,hybrid,20,1271
6100,nearly_sorted,hybrid,20,1171
6100,random,hybrid,30,1601
6100,reversed,hybrid,30,1441
6100,nearly_sorted,hybrid,30,1039
6100,random,hybrid,50,1748
6100,reversed,hybrid,50,1833
6100,nearly_sorted,hybrid,50,969
6200,random,standard,0,2801
6200,reversed,standard,0,3130
6200,nearly_sorted,standard,0,3306
6200,random,hybrid,5,2601
6200,reversed,hybrid,5,1474
6200,nearly_sorted,hybrid,5,1454
6200,random,hybrid,10,1883
6200,reversed,hybrid,10,1368
6200,nearly_sorted,hybrid,10,1379
6200,random,hybrid,20,2364
6200,reversed,hybrid,20,1334
6200,nearly_sorted,hybrid,20,1500
6200,random,hybrid,30,1626
6200,reversed,hybrid,30,1876
6200,nearly_sorted,hybrid,30,1380
6200,random,hybrid,50,1760
6200,reversed,hybrid,50,2037
6200,nearly_sorted,hybrid,50,1018
6300,random,standard,0,2908
6300,reversed,standard,0,2400
6300,nearly_sorted,standard,0,2424
6300,random,hybrid,5,1887
6300,reversed,hybrid,5,1448
6300,nearly_sorted,hybrid,5,1510
6300,random,hybrid,10,1846
6300,reversed,hybrid,10,1325
6300,nearly_sorted,hybrid,10,1450
6300,random,hybrid,20,1874
6300,reversed,hybrid,20,1585
6300,nearly_sorted,hybrid,20,1371
6300,random,hybrid,30,1823
6300,reversed,hybrid,30,1631
6300,nearly_sorted,hybrid,30,1189
6300,random,hybrid,50,1827
6300,reversed,hybrid,50,2006
6300,nearly_sorted,hybrid,50,1097
6400,random,standard,0,2980
6400,reversed,standard,0,2932
6400,nearly_sorted,standard,0,2425
6400,random,hybrid,5,1887
6400,reversed,hybrid,5,1408
6400,nearly_sorted,hybrid,5,1565
6400,random,hybrid,10,1881
6400,reversed,hybrid,10,1630
6400,nearly_sorted,hybrid,10,1594
6400,random,hybrid,20,2405
6400,reversed,hybrid,20,1555
6400,nearly_sorted,hybrid,20,1334
6400,random,hybrid,30,1798
6400,reversed,hybrid,30,1474
6400,nearly_sorted,hybrid,30,1127
6400,random,hybrid,50,1824
6400,reversed,hybrid,50,2028
6400,nearly_sorted,hybrid,50,1001
6500,random,standard,0,2900
6500,reversed,standard,0,2228
6500,nearly_sorted,standard,0,2390
6500,random,hybrid,5,1997
6500,reversed,hybrid,5,1462
6500,nearly_sorted,hybrid,5,1508
6500,random,hybrid,10,1895
6500,reversed,hybrid,10,1389
6500,nearly_sorted,hybrid,10,1441
6500,random,hybrid,20,1767
6500,reversed,hybrid,20,1398
6500,nearly_sorted,hybrid,20,1257
6500,random,hybrid,30,1698
6500,reversed,hybrid,30,1538
6500,nearly_sorted,hybrid,30,1140
6500,random,hybrid,50,1800
6500,reversed,hybrid,50,2073
6500,nearly_sorted,hybrid,50,1068
6600,random,standard,0,2995
6600,reversed,standard,0,2240
6600,nearly_sorted,standard,0,2665
6600,random,hybrid,5,2262
6600,reversed,hybrid,5,1622
6600,nearly_sorted,hybrid,5,1572
6600,random,hybrid,10,2063
6600,reversed,hybrid,10,1390
6600,nearly_sorted,hybrid,10,1450
6600,random,hybrid,20,1759
6600,reversed,hybrid,20,1453
6600,nearly_sorted,hybrid,20,1248
6600,random,hybrid,30,1764
6600,reversed,hybrid,30,1584
6600,nearly_sorted,hybrid,30,1230
6600,random,hybrid,50,1779
6600,reversed,hybrid,50,1821
6600,nearly_sorted,hybrid,50,1155
6700,random,standard,0,3226
6700,reversed,standard,0,2273
6700,nearly_sorted,standard,0,2669
6700,random,hybrid,5,2162
6700,reversed,hybrid,5,1617
6700,nearly_sorted,hybrid,5,1627
6700,random,hybrid,10,1970
6700,reversed,hybrid,10,1384
6700,nearly_sorted,hybrid,10,1505
6700,random,hybrid,20,1759
6700,reversed,hybrid,20,1492
6700,nearly_sorted,hybrid,20,1311
6700,random,hybrid,30,1747
6700,reversed,hybrid,30,1638
6700,nearly_sorted,hybrid,30,1127
6700,random,hybrid,50,1776
6700,reversed,hybrid,50,1550
6700,nearly_sorted,hybrid,50,1201
6800,random,standard,0,2918
6800,reversed,standard,0,2262
6800,nearly_sorted,standard,0,2641
6800,random,hybrid,5,2496
6800,reversed,hybrid,5,1577
6800,nearly_sorted,hybrid,5,1662
6800,random,hybrid,10,1971
6800,reversed,hybrid,10,1416
6800,nearly_sorted,hybrid,10,1418
6800,random,hybrid,20,1765
6800,reversed,hybrid,20,1395
6800,nearly_sorted,hybrid,20,1248
6800,random,hybrid,30,1733
6800,reversed,hybrid,30,1539
6800,nearly_sorted,hybrid,30,1139
6800,random,hybrid,50,1736
6800,reversed,hybrid,50,1580
6800,nearly_sorted,hybrid,50,1105
6900,random,standard,0,2845
6900,reversed,standard,0,2248
6900,nearly_sorted,standard,0,2470
6900,random,hybrid,5,2081
6900,reversed,hybrid,5,1544
6900,nearly_sorted,hybrid,5,1628
6900,random,hybrid,10,1880
6900,reversed,hybrid,10,1422
6900,nearly_sorted,hybrid,10,1439
6900,random,hybrid,20,1827
6900,reversed,hybrid,20,1382
6900,nearly_sorted,hybrid,20,1268
6900,random,hybrid,30,1737
6900,reversed,hybrid,30,1627
6900,nearly_sorted,hybrid,30,1120
6900,random,hybrid,50,1768
6900,reversed,hybrid,50,1590
6900,nearly_sorted,hybrid,50,1156
7000,random,standard,0,2909
7000,reversed,standard,0,2307
7000,nearly_sorted,standard,0,2495
7000,random,hybrid,5,2252
7000,reversed,hybrid,5,1578
7000,nearly_sorted,hybrid,5,1747
7000,random,hybrid,10,1980
7000,reversed,hybrid,10,1472
7000,nearly_sorted,hybrid,10,1481
7000,random,hybrid,20,1818
7000,reversed,hybrid,20,1433
7000,nearly_sorted,hybrid,20,1293
7000,random,hybrid,30,1800
7000,reversed,hybrid,30,1607
7000,nearly_sorted,hybrid,30,1134
7000,random,hybrid,50,1815
7000,reversed,hybrid,50,1697
7000,nearly_sorted,hybrid,50,1201
7100,random,standard,0,3051
7100,reversed,standard,0,2407
7100,nearly_sorted,standard,0,2527
7100,random,hybrid,5,2187
7100,reversed,hybrid,5,1597
7100,nearly_sorted,hybrid,5,1666
7100,random,hybrid,10,1980
7100,reversed,hybrid,10,1442
7100,nearly_sorted,hybrid,10,1485
7100,random,hybrid,20,1850
7100,reversed,hybrid,20,1467
7100,nearly_sorted,hybrid,20,1307
7100,random,hybrid,30,1848
7100,reversed,hybrid,30,1708
7100,nearly_sorted,hybrid,30,1190
7100,random,hybrid,50,1838
7100,reversed,hybrid,50,1710
7100,nearly_sorted,hybrid,50,1189
7200,random,standard,0,3159
7200,reversed,standard,0,2343
7200,nearly_sorted,standard,0,2528
7200,random,hybrid,5,2223
7200,reversed,hybrid,5,1635
7200,nearly_sorted,hybrid,5,1804
7200,random,hybrid,10,1994
7200,reversed,hybrid,10,1466
7200,nearly_sorted,hybrid,10,1492
7200,random,hybrid,20,1824
7200,reversed,hybrid,20,1500
7200,nearly_sorted,hybrid,20,1298
7200,random,hybrid,30,1820
7200,reversed,hybrid,30,1690
7200,nearly_sorted,hybrid,30,1210
7200,random,hybrid,50,1865
7200,reversed,hybrid,50,1840
7200,nearly_sorted,hybrid,50,1199
7300,random,standard,0,3326
7300,reversed,standard,0,2399
7300,nearly_sorted,standard,0,2577
7300,random,hybrid,5,2245
7300,reversed,hybrid,5,1648
7300,nearly_sorted,hybrid,5,1798
7300,random,hybrid,10,2056
7300,reversed,hybrid,10,1488
7300,nearly_sorted,hybrid,10,1523
7300,random,hybrid,20,1889
7300,reversed,hybrid,20,1523
7300,nearly_sorted,hybrid,20,1351
7300,random,hybrid,30,1878
7300,reversed,hybrid,30,1716
7300,nearly_sorted,hybrid,30,1226
7300,random,hybrid,50,1879
7300,reversed,hybrid,50,1773
7300,nearly_sorted,hybrid,50,1225
7400,random,standard,0,3398
7400,reversed,standard,0,2632
7400,nearly_sorted,standard,0,2676
7400,random,hybrid,5,2311
7400,reversed,hybrid,5,1678
7400,nearly_sorted,hybrid,5,1804
7400,random,hybrid,10,2077
7400,reversed,hybrid,10,1525
7400,nearly_sorted,hybrid,10,1516
7400,random,hybrid,20,1945
7400,reversed,hybrid,20,1538
7400,nearly_sorted,hybrid,20,1318
7400,random,hybrid,30,1872
7400,reversed,hybrid,30,1779
7400,nearly_sorted,hybrid,30,1211
7400,random,hybrid,50,1907
7400,reversed,hybrid,50,1735
7400,nearly_sorted,hybrid,50,1229
7500,random,standard,0,3336
7500,reversed,standard,0,2504
7500,nearly_sorted,standard,0,2671
7500,random,hybrid,5,2337
7500,reversed,hybrid,5,1685
7500,nearly_sorted,hybrid,5,1790
7500,random,hybrid,10,2063
7500,reversed,hybrid,10,1544
7500,nearly_sorted,hybrid,10,1564
7500,random,hybrid,20,1954
7500,reversed,hybrid,20,1566
7500,nearly_sorted,hybrid,20,1382
7500,random,hybrid,30,1942
7500,reversed,hybrid,30,1813
7500,nearly_sorted,hybrid,30,1257
7500,random,hybrid,50,1979
7500,reversed,hybrid,50,1831
7500,nearly_sorted,hybrid,50,1345
7600,random,standard,0,3952
7600,reversed,standard,0,3104
7600,nearly_sorted,standard,0,3086
7600,random,hybrid,5,2497
7600,reversed,hybrid,5,1811
7600,nearly_sorted,hybrid,5,1926
7600,random,hybrid,10,2261
7600,reversed,hybrid,10,1640
7600,nearly_sorted,hybrid,10,1676
7600,random,hybrid,20,2087
7600,reversed,hybrid,20,1634
7600,nearly_sorted,hybrid,20,1389
7600,random,hybrid,30,2019
7600,reversed,hybrid,30,1840
7600,nearly_sorted,hybrid,30,1314
7600,random,hybrid,50,2006
7600,reversed,hybrid,50,1846
7600,nearly_sorted,hybrid,50,1279
7700,random,standard,0,3315
7700,reversed,standard,0,2582
7700,nearly_sorted,standard,0,2757
7700,random,hybrid,5,2425
7700,reversed,hybrid,5,1735
7700,nearly_sorted,hybrid,5,1857
7700,random,hybrid,10,2130
7700,reversed,hybrid,10,1591
7700,nearly_sorted,hybrid,10,1598
7700,random,hybrid,20,2011
7700,reversed,hybrid,20,1605
7700,nearly_sorted,hybrid,20,1420
7700,random,hybrid,30,1959
7700,reversed,hybrid,30,1923
7700,nearly_sorted,hybrid,30,1318
7700,random,hybrid,50,2045
7700,reversed,hybrid,50,1900
7700,nearly_sorted,hybrid,50,1310
7800,random,standard,0,3321
7800,reversed,standard,0,2785
7800,nearly_sorted,standard,0,2944
7800,random,hybrid,5,2625
7800,reversed,hybrid,5,1852
7800,nearly_sorted,hybrid,5,1975
7800,random,hybrid,10,2204
7800,reversed,hybrid,10,1606
7800,nearly_sorted,hybrid,10,1613
7800,random,hybrid,20,2075
7800,reversed,hybrid,20,1683
7800,nearly_sorted,hybrid,20,1444
7800,random,hybrid,30,2102
7800,reversed,hybrid,30,1920
7800,nearly_sorted,hybrid,30,1306
7800,random,hybrid,50,2068
7800,reversed,hybrid,50,1954
7800,nearly_sorted,hybrid,50,1329
7900,random,standard,0,3458
7900,reversed,standard,0,2664
7900,nearly_sorted,standard,0,2842
7900,random,hybrid,5,2475
7900,reversed,hybrid,5,1804
7900,nearly_sorted,hybrid,5,1937
7900,random,hybrid,10,2231
7900,reversed,hybrid,10,1629
7900,nearly_sorted,hybrid,10,1649
7900,random,hybrid,20,2102
7900,reversed,hybrid,20,1652
7900,nearly_sorted,hybrid,20,1440
7900,random,hybrid,30,2022
7900,reversed,hybrid,30,1917
7900,nearly_sorted,hybrid,30,1304
7900,random,hybrid,50,2071
7900,reversed,hybrid,50,1899
7900,nearly_sorted,hybrid,50,1312
8000,random,standard,0,3427
8000,reversed,standard,0,2672
8000,nearly_sorted,standard,0,2868
8000,random,hybrid,5,2492
8000,reversed,hybrid,5,1810
8000,nearly_sorted,hybrid,5,1955
8000,random,hybrid,10,2251
8000,reversed,hybrid,10,1657
8000,nearly_sorted,hybrid,10,1693
8000,random,hybrid,20,2154
8000,reversed,hybrid,20,1793
8000,nearly_sorted,hybrid,20,1511
8000,random,hybrid,30,2216
8000,reversed,hybrid,30,2051
8000,nearly_sorted,hybrid,30,1451
8000,random,hybrid,50,2164
8000,reversed,hybrid,50,2009
8000,nearly_sorted,hybrid,50,1367
8100,random,standard,0,3377
8100,reversed,standard,0,2631
8100,nearly_sorted,standard,0,2870
8100,random,hybrid,5,2480
8100,reversed,hybrid,5,1784
8100,nearly_sorted,hybrid,5,1969
8100,random,hybrid,10,2260
8100,reversed,hybrid,10,1691
8100,nearly_sorted,hybrid,10,1682
8100,random,hybrid,20,2120
8100,reversed,hybrid,20,1750
8100,nearly_sorted,hybrid,20,1525
8100,random,hybrid,30,2143
8100,reversed,hybrid,30,1852
8100,nearly_sorted,hybrid,30,1481
8100,random,hybrid,50,2197
8100,reversed,hybrid,50,2033
8100,nearly_sorted,hybrid,50,1362
8200,random,standard,0,3593
8200,reversed,standard,0,2694
8200,nearly_sorted,standard,0,2962
8200,random,hybrid,5,2515
8200,reversed,hybrid,5,1828
8200,nearly_sorted,hybrid,5,2000
8200,random,hybrid,10,2324
8200,reversed,hybrid,10,1728
8200,nearly_sorted,hybrid,10,1713
8200,random,hybrid,20,2203
8200,reversed,hybrid,20,1773
8200,nearly_sorted,hybrid,20,1461
8200,random,hybrid,30,2152
8200,reversed,hybrid,30,1757
8200,nearly_sorted,hybrid,30,1508
8200,random,hybrid,50,2156
8200,reversed,hybrid,50,2021
8200,nearly_sorted,hybrid,50,1340
8300,random,standard,0,3475
8300,reversed,standard,0,2749
8300,nearly_sorted,standard,0,2909
8300,random,hybrid,5,2586
8300,reversed,hybrid,5,1841
8300,nearly_sorted,hybrid,5,2014
8300,random,hybrid,10,2379
8300,reversed,hybrid,10,1767
8300,nearly_sorted,hybrid,10,1684
8300,random,hybrid,20,2172
8300,reversed,hybrid,20,1768
8300,nearly_sorted,hybrid,20,1578
8300,random,hybrid,30,2157
8300,reversed,hybrid,30,1745
8300,nearly_sorted,hybrid,30,1536
8300,random,hybrid,50,2200
8300,reversed,hybrid,50,2128
8300,nearly_sorted,hybrid,50,1389
8400,random,standard,0,3485
8400,reversed,standard,0,2783
8400,nearly_sorted,standard,0,3039
8400,random,hybrid,5,2634
8400,reversed,hybrid,5,1984
8400,nearly_sorted,hybrid,5,2044
8400,random,hybrid,10,2359
8400,reversed,hybrid,10,1762
8400,nearly_sorted,hybrid,10,1733
8400,random,hybrid,20,2214
8400,reversed,hybrid,20,1806
8400,nearly_sorted,hybrid,20,1508
8400,random,hybrid,30,2165
8400,reversed,hybrid,30,1749
8400,nearly_sorted,hybrid,30,1500
8400,random,hybrid,50,2162
8400,reversed,hybrid,50,2080
8400,nearly_sorted,hybrid,50,1382
8500,random,standard,0,3701
8500,reversed,standard,0,2852
8500,nearly_sorted,standard,0,3093
8500,random,hybrid,5,2677
8500,reversed,hybrid,5,1934
8500,nearly_sorted,hybrid,5,2038
8500,random,hybrid,10,2404
8500,reversed,hybrid,10,1795
8500,nearly_sorted,hybrid,10,1761
8500,random,hybrid,20,2286
8500,reversed,hybrid,20,1826
8500,nearly_sorted,hybrid,20,1533
8500,random,hybrid,30,2188
8500,reversed,hybrid,30,1788
8500,nearly_sorted,hybrid,30,1515
8500,random,hybrid,50,2218
8500,reversed,hybrid,50,2135
8500,nearly_sorted,hybrid,50,1388
8600,random,standard,0,3629
8600,reversed,standard,0,2915
8600,nearly_sorted,standard,0,3096
8600,random,hybrid,5,2628
8600,reversed,hybrid,5,1947
8600,nearly_sorted,hybrid,5,2055
8600,random,hybrid,10,2436
8600,reversed,hybrid,10,1846
8600,nearly_sorted,hybrid,10,1795
8600,random,hybrid,20,2302
8600,reversed,hybrid,20,1834
8600,nearly_sorted,hybrid,20,1577
8600,random,hybrid,30,2233
8600,reversed,hybrid,30,1898
8600,nearly_sorted,hybrid,30,1625
8600,random,hybrid,50,2344
8600,reversed,hybrid,50,2209
8600,nearly_sorted,hybrid,50,1434
8700,random,standard,0,3713
8700,reversed,standard,0,2984
8700,nearly_sorted,standard,0,3186
8700,random,hybrid,5,2672
8700,reversed,hybrid,5,1945
8700,nearly_sorted,hybrid,5,2095
8700,random,hybrid,10,2445
8700,reversed,hybrid,10,1770
8700,nearly_sorted,hybrid,10,1737
8700,random,hybrid,20,2228
8700,reversed,hybrid,20,1891
8700,nearly_sorted,hybrid,20,1558
8700,random,hybrid,30,2251
8700,reversed,hybrid,30,1825
8700,nearly_sorted,hybrid,30,1565
8700,random,hybrid,50,2256
8700,reversed,hybrid,50,2183
8700,nearly_sorted,hybrid,50,1444
8800,random,standard,0,3770
8800,reversed,standard,0,3075
8800,nearly_sorted,standard,0,3235
8800,random,hybrid,5,2788
8800,reversed,hybrid,5,1996
8800,nearly_sorted,hybrid,5,2107
8800,random,hybrid,10,2504
8800,reversed,hybrid,10,2018
8800,nearly_sorted,hybrid,10,1955
8800,random,hybrid,20,2579
8800,reversed,hybrid,20,2065
8800,nearly_sorted,hybrid,20,1822
8800,random,hybrid,30,2510
8800,reversed,hybrid,30,2164
8800,nearly_sorted,hybrid,30,1675
8800,random,hybrid,50,2379
8800,reversed,hybrid,50,2372
8800,nearly_sorted,hybrid,50,1466
8900,random,standard,0,4046
8900,reversed,standard,0,3420
8900,nearly_sorted,standard,0,3662
8900,random,hybrid,5,2953
8900,reversed,hybrid,5,2099
8900,nearly_sorted,hybrid,5,2334
8900,random,hybrid,10,2699
8900,reversed,hybrid,10,2000
8900,nearly_sorted,hybrid,10,1973
8900,random,hybrid,20,2509
8900,reversed,hybrid,20,2049
8900,nearly_sorted,hybrid,20,1719
8900,random,hybrid,30,2385
8900,reversed,hybrid,30,1977
8900,nearly_sorted,hybrid,30,1637
8900,random,hybrid,50,2428
8900,reversed,hybrid,50,2390
8900,nearly_sorted,hybrid,50,1572
9000,random,standard,0,4131
9000,reversed,standard,0,3236
9000,nearly_sorted,standard,0,3567
9000,random,hybrid,5,2831
9000,reversed,hybrid,5,2035
9000,nearly_sorted,hybrid,5,2184
9000,random,hybrid,10,2720
9000,reversed,hybrid,10,1958
9000,nearly_sorted,hybrid,10,1877
9000,random,hybrid,20,2434
9000,reversed,hybrid,20,2060
9000,nearly_sorted,hybrid,20,1799
9000,random,hybrid,30,2503
9000,reversed,hybrid,30,2025
9000,nearly_sorted,hybrid,30,1703
9000,random,hybrid,50,2588
9000,reversed,hybrid,50,2451
9000,nearly_sorted,hybrid,50,1561
9100,random,standard,0,4106
9100,reversed,standard,0,3323
9100,nearly_sorted,standard,0,3612
9100,random,hybrid,5,2989
9100,reversed,hybrid,5,2135
9100,nearly_sorted,hybrid,5,2285
9100,random,hybrid,10,2950
9100,reversed,hybrid,10,2247
9100,nearly_sorted,hybrid,10,2203
9100,random,hybrid,20,2947
9100,reversed,hybrid,20,2337
9100,nearly_sorted,hybrid,20,1748
9100,random,hybrid,30,2594
9100,reversed,hybrid,30,2184
9100,nearly_sorted,hybrid,30,1715
9100,random,hybrid,50,2735
9100,reversed,hybrid,50,2767
9100,nearly_sorted,hybrid,50,1577
9200,random,standard,0,4540
9200,reversed,standard,0,3541
9200,nearly_sorted,standard,0,3618
9200,random,hybrid,5,2856
9200,reversed,hybrid,5,2053
9200,nearly_sorted,hybrid,5,2237
9200,random,hybrid,10,2590
9200,reversed,hybrid,10,1973
9200,nearly_sorted,hybrid,10,1883
9200,random,hybrid,20,2506
9200,reversed,hybrid,20,2060
9200,nearly_sorted,hybrid,20,1737
9200,random,hybrid,30,2489
9200,reversed,hybrid,30,2063
9200,nearly_sorted,hybrid,30,1743
9200,random,hybrid,50,2648
9200,reversed,hybrid,50,2608
9200,nearly_sorted,hybrid,50,1570
9300,random,standard,0,4125
9300,reversed,standard,0,3548
9300,nearly_sorted,standard,0,3697
9300,random,hybrid,5,2917
9300,reversed,hybrid,5,2094
9300,nearly_sorted,hybrid,5,2230
9300,random,hybrid,10,2677
9300,reversed,hybrid,10,2005
9300,nearly_sorted,hybrid,10,1924
9300,random,hybrid,20,2471
9300,reversed,hybrid,20,2050
9300,nearly_sorted,hybrid,20,1719
9300,random,hybrid,30,2493
9300,reversed,hybrid,30,2041
9300,nearly_sorted,hybrid,30,1691
9300,random,hybrid,50,2516
9300,reversed,hybrid,50,2555
9300,nearly_sorted,hybrid,50,1660
9400,random,standard,0,4538
9400,reversed,standard,0,3233
9400,nearly_sorted,standard,0,3727
9400,random,hybrid,5,2919
9400,reversed,hybrid,5,2103
9400,nearly_sorted,hybrid,5,2233
9400,random,hybrid,10,2623
9400,reversed,hybrid,10,2036
9400,nearly_sorted,hybrid,10,1959
9400,random,hybrid,20,2495
9400,reversed,hybrid,20,2026
9400,nearly_sorted,hybrid,20,1735
9400,random,hybrid,30,2433
9400,reversed,hybrid,30,2088
9400,nearly_sorted,hybrid,30,1737
9400,random,hybrid,50,2551
9400,reversed,hybrid,50,2541
9400,nearly_sorted,hybrid,50,1657
9500,random,standard,0,4283
9500,reversed,standard,0,3304
9500,nearly_sorted,standard,0,3614
9500,random,hybrid,5,3233
9500,reversed,hybrid,5,2212
9500,nearly_sorted,hybrid,5,2398
9500,random,hybrid,10,2825
9500,reversed,hybrid,10,2061
9500,nearly_sorted,hybrid,10,2105
9500,random,hybrid,20,2662
9500,reversed,hybrid,20,2209
9500,nearly_sorted,hybrid,20,1787
9500,random,hybrid,30,2564
9500,reversed,hybrid,30,2099
9500,nearly_sorted,hybrid,30,1789
9500,random,hybrid,50,2655
9500,reversed,hybrid,50,2586
9500,nearly_sorted,hybrid,50,1608
9600,random,standard,0,4409
9600,reversed,standard,0,3316
9600,nearly_sorted,standard,0,3719
9600,random,hybrid,5,2982
9600,reversed,hybrid,5,2240
9600,nearly_sorted,hybrid,5,2269
9600,random,hybrid,10,2660
